GCA_002717485.1_ASM271748v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__HIMB59_f__GCA-002718135_g__GCA-2717485_s__GCA-2717485
GCA_002717245.1_ASM271724v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__GCA-002720895_f__GCA-002720895_g__GCA-002720895_s__GCA-002720895
GCA_002689325.1_ASM268932v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED127_f__TMED127_g__GCA-002690875_s__GCA-002690875
GCA_002691245.1_ASM269124v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED127_f__TMED127_g__GCA-2691245_s__GCA-2691245
GCA_002689845.1_ASM268984v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED127_f__TMED127_g__TMED13_s__TMED13
GCA_002691145.1_ASM269114v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED127_f__TMED127_g__GCA-2691145_s__GCA-2691145
GCA_002720535.1_ASM272053v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED109_f__TMED109_g__TMED109_s__TMED109
GCA_002699795.1_ASM269979v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED109_f__TMED109_g__TMED109_s__TMED109
GCA_002715265.1_ASM271526v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED109_f__TMED109_g__GCA-002727615_s__GCA-002727615
GCA_002715505.1_ASM271550v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED109_f__TMED131_g__GCA-2715505_s__GCA-2715505
GCA_002722055.1_ASM272205v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__GCA-2701885_f__GCA-2701885_g__GCA-2701885_s__GCA-2701885
GCA_002238905.1_ASM223890v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Bin98_f__Bin98_g__Bin98_s__Bin98
GCA_002701925.1_ASM270192v1	d__Bacteria_p__Dadabacteria_c__UBA1144_o__UBA1144_f__UBA1144_g__GCA-2701925_s__GCA-2701925
GCA_002715585.1_ASM271558v1	d__Bacteria_p__Dadabacteria_c__UBA1144_o__UBA1144_f__UBA1144_g__GCA-002715585_s__GCA-002715585
GCA_002238765.1_ASM223876v1	d__Bacteria_p__Nitrospirota_c__Nitrospiria_o__Nitrospirales_f__UBA8639_g__Bin75_s__Bin75
GCA_002238965.1_ASM223896v1	d__Bacteria_p__UBA8248_c__UBA8248_o__UBA8248_f__UBA8248_g__Bin107_s__Bin107
GCA_002238415.1_ASM223841v1	d__Bacteria_p__Binatota_c__Binatia_o__Bin18_f__Bin18_g__Bin18_s__Bin18
jk18x7bins.52	d__Bacteria_p__Binatota_c__Binatia_o__Bin18_f__Bin18_g__Bin18_s__Bin18
GCA_002703625.1_ASM270362v1	d__Bacteria_p__Myxococcota_c__Polyangia_o__Polyangiales_f__SG8-38_g__UBA1660_s__UBA1660
GCA_002699025.1_ASM269902v1	d__Bacteria_p__Myxococcota_c__Polyangia_o__Polyangiales_f__SG8-38_g__GCA-2699025_s__GCA-2699025
GCA_002721815.1_ASM272181v1	d__Bacteria_p__Myxococcota_c__UBA727_o__UBA727_f__GCA-2721815_g__GCA-2721815_s__GCA-2721815
GCA_002691205.1_ASM269120v1	d__Bacteria_p__Myxococcota_c__UBA9160_o__UBA9160_f__UBA4427_g__MED660_s__MED660
GCA_002719955.1_ASM271995v1	d__Bacteria_p__Myxococcota_c__UBA9160_o__UBA9160_f__UBA4427_g__UBA4427_s__UBA4427
GCA_002720175.1_ASM272017v1	d__Bacteria_p__Myxococcota_c__UBA796_o__UBA9615_f__UBA9615_g__UBA6601_s__UBA6601
GCA_002720865.1_ASM272086v1	d__Bacteria_p__Bdellovibrionota_c__Bacteriovoracia_o__Bacteriovoracales_f__Bacteriovoracaceae_g__GCA-2720865_s__GCA-2720865
GCA_002722705.1_ASM272270v1	d__Bacteria_p__Bdellovibrionota_c__Bacteriovoracia_o__UBA1018_f__UBA6935_g__UBA6935_s__UBA6935
GCA_002711205.1_ASM271120v1	d__Bacteria_p__Bdellovibrionota_c__Bdellovibrionia_o__Bdellovibrionales_f__UBA1609_g__UBA6776_s__UBA6776
GCA_002720815.1_ASM272081v1	d__Bacteria_p__Acidobacteriota_c__Vicinamibacteria_o__Vicinamibacterales_f__UBA823_g__UBA8106_s__UBA8106
jk18xAbins.61	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x22bins.40	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x7bins.84	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
p16x44bins.23	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
GCA_009840445.1_ASM984044v1	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x22bins.65	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18xAbins.51	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
p16x65bins.39	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x7bins.48	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x1bzbins.87	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
p16x60bins.38	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x27bins.71	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
p16x34bins.54	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
jk18x8bins.2	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
GCA_009836025.1_ASM983602v1	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__
GCA_009841325.1_ASM984132v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g__UBA11606_s__
jk18x40bins.8	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
GCA_009837475.1_ASM983747v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
GCA_009836165.1_ASM983616v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
p16x63bins.58	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
GCA_009843915.1_ASM984391v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
p16x60bins.22	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
p16x34bins.51	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
GCA_009842315.1_ASM984231v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
jk18xAbins.52	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
jk18x27bins.69	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
jk18x9bins.28	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
GCA_009843735.1_ASM984373v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
jk18x34bins.36	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA11606_g___s__
jk18x1bzbins.74	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
jk18xAbins.18	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
jk18x22bins.20	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
p16x57bins.12	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
jk18x9bins.74	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
p16x33bins.34	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
jk18x34bins.52	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
p16x65bins.37	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
jk18x11bins.4	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
GCA_009838875.1_ASM983887v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
jk18x27bins.72	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
GCA_009842675.1_ASM984267v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
GCA_009840105.1_ASM984010v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
p16x34bins.22	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
GCA_009843865.1_ASM984386v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__
GCA_009840735.1_ASM984073v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g___s__
GCA_009835395.1_ASM983539v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g___s__
jk18x40bins.18	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
GCA_009843525.1_ASM984352v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
jk18x1bzbins.28	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
jk18xAbins.26	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
p16x43bins.35	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
jk18x27bins.21	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
p16x63bins.43	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
p16x33bins.66	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
jk18x11bins.54	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
jk18x22bins.55	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
p16x63bins.71	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
p16x60bins.66	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
jk18x9bins.27	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
p16x34bins.37	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g___s__
GCA_009841105.1_ASM984110v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__SZUA-232_g___s__
GCA_009838635.1_ASM983863v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__SZUA-232_g___s__
p16x33bins.72	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__SZUA-232_g___s__
p16x65bins.30	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__SZUA-232_g___s__
GCA_009841075.1_ASM984107v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__SZUA-232_g___s__
GCA_009837815.1_ASM983781v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__Bin76_g__Bin76_s__
jk18x34bins.47	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
p16x33bins.8	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
jk18x27bins.2	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
p16x57bins.56	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
p16x63bins.25	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
jk18x7bins.79	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
GCA_009838175.1_ASM983817v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__
GCA_002716865.1_ASM271686v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__TMED-70_g__GCA-002700125_s__
GCA_009838465.1_ASM983846v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA11138_g___s__
GCA_009840355.1_ASM984035v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA11138_g__Bin90_s__
GCA_009838445.1_ASM983844v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f___g___s__
GCA_009840025.1_ASM984002v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f___g___s__
GCA_009841605.1_ASM984160v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f___g___s__
jk18x1bzbins.79	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g___s__
GCA_009840175.1_ASM984017v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g___s__
p16x33bins.38	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin22_s__
GCA_009840135.1_ASM984013v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin22_s__
jk18x1bzbins.29	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__
p16x63bins.3	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__
GCA_009837355.1_ASM983735v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__
GCA_009840165.1_ASM984016v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__
jk18x22bins.99	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__
jk18x27bins.51	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__
p16x60bins.58	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2963_f__UBA2963_g__Bin16_s__
jk18x1bzbins.66	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2963_f__UBA2963_g__Bin16_s__
GCA_009838965.1_ASM983896v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2963_f__UBA2963_g__Bin16_s__
p16x34bins.71	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2963_f__UBA2963_g__Bin16_s__
GCA_009841045.1_ASM984104v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA6926_f__UBA6926_g___s__
GCA_009837285.1_ASM983728v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2979_f___g___s__
GCA_009840945.1_ASM984094v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2979_f___g___s__
GCA_009840965.1_ASM984096v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2979_f___g___s__
GCA_009839925.1_ASM983992v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2979_f___g___s__
jk18x25bins.9	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
jk18x34bins.13	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
p16x43bins.48	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
p16x60bins.61	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
GCA_009841545.1_ASM984154v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
GCA_009840315.1_ASM984031v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
GCA_009836695.1_ASM983669v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
GCA_009845885.1_ASM984588v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
jk18x1bzbins.41	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
jk18x22bins.80	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
GCA_009842405.1_ASM984240v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
p16x63bins.52	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
jk18x40bins.26	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
jk18x9bins.53	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__
jk18x1bzbins.86	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
GCA_009839725.1_ASM983972v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
p16x63bins.9	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
p16x60bins.9	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
GCA_009841435.1_ASM984143v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
jk18x25bins.41	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
jk18x34bins.55	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2991_f__UBA2991_g__UBA2991_s__
jk18x44bins.10	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x9bins.15	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x22bins.106	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
GCA_009840575.1_ASM984057v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x7bins.73	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x25bins.25	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x7bins.101	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x22bins.90	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x8bins.27	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x33bins.47	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18xAbins.45	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x65bins.28	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x44bins.21	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x7bins.23	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x1bzbins.63	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x11bins.51	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
GCA_009841405.1_ASM984140v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x7bins.24	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x27bins.46	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x8bins.18	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x33bins.3	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x22bins.39	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x43bins.57	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x65bins.10	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x60bins.18	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x9bins.61	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
jk18x22bins.101	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
p16x34bins.65	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__
GCA_009843665.1_ASM984366v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
GCA_009840225.1_ASM984022v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x1bzbins.37	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18xAbins.67	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x25bins.58	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
GCA_009838625.1_ASM983862v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
p16x43bins.45	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x40bins.35	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
GCA_009841235.1_ASM984123v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
GCA_009837805.1_ASM983780v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18xAbins.63	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
p16x57bins.10	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
p16x33bins.39	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x27bins.44	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x9bins.9	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x22bins.14	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x8bins.28	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
p16x63bins.29	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
jk18x1bzbins.24	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__
GCA_009839295.1_ASM983929v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Bin34_g__Bin34_s__
GCA_009841145.1_ASM984114v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Bin34_g__Bin34_s__
jk18x44bins.5	d__Bacteria_p__Chloroflexota_c__UBA2235_o__UBA12225_f___g___s__
jk18x1bzbins.67	d__Bacteria_p__Chloroflexota_c__UBA2235_o__UBA12225_f___g___s__
jk18x8bins.21	d__Bacteria_p__Chloroflexota_c__UBA2235_o___f___g___s__
jk18x40bins.16	d__Bacteria_p__Chloroflexota_B_c__UBA11872_o__UBA11872_f__UBA11872_g___s__
jk18xAbins.55	d__Bacteria_p__Chloroflexota_B_c__UBA11872_o__UBA11872_f__UBA11872_g___s__
jk18x22bins.70	d__Bacteria_p__Chloroflexota_B_c__UBA11872_o__UBA11872_f__UBA11872_g___s__
p16x57bins.27	d__Bacteria_p__Chloroflexota_B_c__UBA11872_o__UBA11872_f__UBA11872_g___s__
